iter	Passed	Remaining
732	3038	1106
733	3038	1101
734	3038	1095
735	3039	1090
736	3039	1084
737	3040	1079
738	3041	1074
739	3042	1068
740	3042	1063
741	3042	1058
742	3043	1052
743	3043	1047
744	3043	1041
745	3043	1036
746	3043	1030
747	3044	1025
748	3044	1020
749	3044	1014
750	3045	1009
751	3045	1004
752	3046	999
753	3046	993
754	3046	988
755	3046	983
756	3047	978
757	3075	982
758	3076	976
759	3076	971
760	3077	966
761	3077	961
762	3078	956
763	3081	951
764	3094	950
765	3095	945
766	3095	940
767	3096	935
768	3096	930
769	3097	925
770	3097	920
771	3115	919
772	3115	914
773	3116	910
774	3117	904
775	3117	899
776	3131	898
777	3135	894
778	3148	893
779	3148	888
780	3159	885
781	3159	880
782	3167	877
783	3168	872
784	3168	867
785	3172	863
786	3172	858
787	3173	853
788	3173	848
789	3173	843
790	3174	838
791	3174	833
792	3174	828
793	3175	823
794	3175	818
795	3179	814
796	3180	810
797	3180	805
798	3181	800
799	3181	795
800	3181	790
801	3182	785
802	3182	780
803	3182	775
804	3183	771
805	3183	766
806	3183	761
807	3184	756
808	3184	751
809	3185	747
810	3185	742
811	3194	739
812	3194	734
813	3194	730
814	3221	731
815	3221	726
816	3221	721
817	3222	716
818	3222	712
819	3230	709
820	3230	704
821	3231	699
822	3231	694
823	3231	690
824	3232	685
825	3232	680
826	3232	676
827	3233	671
828	3233	667
829	3234	662
830	3234	657
831	3234	653
832	3235	648
833	3235	643
834	3235	639
835	3235	634
836	3236	630
837	3236	625
838	3237	621
839	3237	616
840	3237	612
841	3238	607
842	3238	603
843	3238	598
844	3239	594
845	3240	589
846	3240	585
847	3240	580
848	3241	576
849	3241	572
850	3241	567
851	3242	563
852	3249	559
853	3250	555
854	3250	551
855	3251	546
856	3251	542
857	3252	538
858	3253	533
859	3253	529
860	3254	525
861	3254	521
862	3254	516
863	3255	512
864	3255	508
865	3255	503
866	3256	499
867	3256	495
868	3256	490
869	3257	486
870	3257	482
871	3258	478
872	3258	474
873	3258	469
874	3259	465
875	3259	461
876	3259	457
877	3260	453
878	3260	448
879	3260	444
880	3261	440
881	3261	436
882	3261	432
883	3262	428
884	3262	423
885	3263	419
886	3263	415
887	3263	411
888	3264	407
889	3264	403
890	3264	399
891	3265	395
892	3265	391
893	3266	387
894	3266	383
895	3266	379
896	3267	375
897	3267	371
898	3267	367
899	3268	363
900	3268	359
901	3269	355
902	3269	351
903	3269	347
904	3270	343
905	3270	339
906	3271	335
907	3271	331
908	3271	327
909	3272	323
910	3272	319
911	3272	315
912	3273	311
913	3273	308
914	3273	304
915	3274	300
916	3274	296
917	3275	292
918	3275	288
919	3275	284
920	3276	281
921	3276	277
922	3276	273
923	3277	269
924	3277	265
925	3277	261
926	3278	258
927	3278	254
928	3278	250
929	3279	246
930	3279	243
931	3280	239
932	3280	235
933	3280	231
934	3281	228
935	3281	224
936	3281	220
937	3282	216
938	3282	213
939	3283	209
940	3283	205
941	3283	202
942	3284	198
943	3284	194
944	3284	191
945	3285	187
946	3285	183
947	3285	180
948	3286	176
949	3286	172
950	3286	169
951	3287	165
952	3287	162
953	3287	158
954	3288	154
955	3288	151
956	3288	147
957	3289	144
958	3289	140
959	3289	137
960	3290	133
961	3290	129
962	3290	126
963	3291	122
964	3291	119
965	3292	115
966	3292	112
967	3292	108
968	3293	105
969	3293	101
970	3293	98
971	3294	94
972	3294	91
973	3294	87
974	3295	84
975	3295	81
976	3295	77
977	3296	74
978	3296	70
979	3297	67
980	3297	63
981	3297	60
982	3298	57
983	3298	53
984	3298	50
985	3299	46
986	3299	43
987	3299	40
988	3300	36
989	3300	33
990	3300	29
991	3301	26
992	3301	23
993	3301	19
994	3302	16
995	3302	13
996	3303	9
997	3303	6
998	3303	3
999	3304	0
