iter	Logloss
0	0.6907952445
1	0.6884693146
2	0.6864795685
3	0.6844674247
4	0.6821625846
5	0.6801713126
6	0.6782620021
7	0.6766968318	0.6747312189
9	0.6749295786
10	0.6735524378
11	0.6714211066
12	0.669779472
13	0.668392885
14	0.6662332439
15	0.6648262934
16	0.6637670453
1717	0.6583112903
18	0.6566662886
1919	0.6558426897
20	0.6543025536
21	0.6526499107
22	0.650850023	0.6523262713
24	0.6512364866
25	0.650380956
26	0.6489326425
27	0.27	0.643479799228	0.642618683329	0.6385653306
30	0.6370644053
31	0.6357869513
32	0.6345202297
33	0.6334412199
34	0.632393502
35	0.6309612485
36	0.629976126
37	0.6287985611
38	0.6273646442
39	0.6297109552
40	0.6283593012
41	0.6271381616
42	0.6259218223
43	0.6254277818
444	0.6225955373
45	0.6218166222
46	0.6207266083
47	0.619682773
48	0.6189778924
49	0.617679886
50	0.6164098954
51	0.615255236852	0.6168598376
53	0.6160042963
54	0.6148825008
555	0.6113779711
56	0.6107164043
57	0.6096376308
58	0.6085920914
59	0.607335359
60	0.6065146331
61	0.6054704637
62	0.6044445945
63	0.6032958102
64	0.6024878265
65	0.6013622735
66	0.6006954191
67	0.5995730634
68	0.5988116872
69	0.5978749151
70	0.59672826
71	0.5957587284
72	0.5946918476
73	0.5938898948
74	0.5935152624
75	0.5926409077
76	0.5919458499
77	0.5910880623
78	0.5900325854
79	0.589689057
80	0.5885997061
81	0.5878757464
82	0.5869592364
83	0.586215985
84	0.5854599858
85	0.584808041
86	0.5842666042
87	0.5834146612
88	0.5824823067
89	0.581767492
90	0.5809378054
91	0.5802411137
92	0.5795639445
93	0.5791116864
94	0.5784252914
95	0.5778208068
96	0.5769783085
97	0.5761034271
98	0.5754877895
99	0.5750822071
100	0.5742291498
101	0.573627673
102	0.5730002811
103	0.5724340466
104	0.5718156674
105	0.5715016954
106	0.570881632
107	0.5704588193
108	0.5698566714
109	0.5693927336
110	0.5688072975
111	0.5681604132
112	0.567690362
113	0.5674994974
114	0.5671471688
115	0.5666157537
116	0.5659053353
117	0.5653124533
118	0.5648971542
119	0.5646405266
120	0.5641038092
121	0.5636856334
122	0.5633458408
123	0.5629192655
124	0.5626540691
125	0.5623022298
126	0.561856787
127	0.5612731447
128	0.5607885433
129	0.5602726314
130	0.5599668128
131	0.5597733267
132	0.5593287792
133	0.5588576541
134	0.5583661773
135	0.5580369722
136	0.55740544
137	0.5570937241
138	0.556931964
139	0.5563828769
140	0.5562579684
141	0.5557379101
142	0.5554176208
143	0.5551060412
144	0.5549918221
145	0.5545676691
146	0.5542090186
147	0.5537508203
148	0.5532923817
149	0.5529281578
150	0.5524860243
151	0.5521946911
152	0.5519282381
153	0.5515528192
154	0.5511825217
155	0.5508905114
156	0.5505624656
157	0.5503793641
158	0.549982772
159	0.5498594893
160	0.5494413732
161	0.5490303217
162	0.5487171256
163	0.5485602962
164	0.5483299023
165	0.5481877906
166	0.5479909669
167	0.5475788966
168	0.5473424146
169	0.5469554088
170	0.546530019
171	0.546170313
172	0.5458132508
173	0.5457677049
174	0.5456153269
175	0.5453241378
176	0.5450137526
177	0.5449107303
178	0.5447545588
179	0.5445482294
180	0.5443357009
181	0.5439225323
182	0.5435401164
183	0.5434038067
184	0.5432822455
185	0.5431194556
186	0.5428355211
187	0.5423986499
